Simulation parameters:
- time steps: 10
- mean velocity: 0.1
- Reynolds number: 10000
- Collision type: LBGK

L 	Error (LInf) 	Convergence Rate 	 beta
128, 	0.00334186,	 0.99237853286757704563
181, 	0.00240977,	0.943797,	 0.98925667253625615416
256, 	0.0017228,	0.967991,	 0.98487236054207372149
362, 	0.0012266,	0.980479,	 0.97874172963238459388
512, 	0.000870366,	0.989636,	 0.97019559143123246248
724, 	0.000616576,	0.994995,	 0.95836847351069542889
1024, 	0.000436308,	0.997557,	 0.94211637021404892600
1448, 	0.000308694,	0.998643,	 0.92006477255998819764
2048, 	0.000218309,	0.999311,	 0.89056711313764613802
2896, 	0.000154401,	0.999685,	 0.85196292257360961564
4096, 	0.000109169,	0.999938,	 0.80272283585923454030
