Simulation parameters:
- time steps: 30
- mean velocity: 0.1
- Reynolds number: 100000

L 	Error (L2) 	Convergence Rate 	 beta
128, 	4.04305e-05,	 0.99923258937136272273
139, 	4.13385e-05,	-0.269409,	 0.99916669497638965769
152, 	4.05793e-05,	0.207314,	 0.99908883098614065243
165, 	3.87432e-05,	0.564229,	 0.99901097913066061462
181, 	3.57867e-05,	0.857689,	 0.99891517811656549419
197, 	3.26491e-05,	1.08323,	 0.99881939547454912098
215, 	2.92514e-05,	1.25684,	 0.99871166195607663507
234, 	2.59793e-05,	1.40084,	 0.99859796845229298334
256, 	2.2686e-05,	1.50856,	 0.99846635567767905162
279, 	1.97659e-05,	1.60154,	 0.99832879759282966425
304, 	1.71148e-05,	1.67822,	 0.99817932091864436384
331, 	1.47569e-05,	1.74204,	 0.99801793637835256590
362, 	1.25641e-05,	1.79688,	 0.99783270735961482334
394, 	1.07522e-05,	1.83847,	 0.99764157531595309969
430, 	9.12997e-06,	1.87055,	 0.99742663927068164753
469, 	7.74287e-06,	1.89812,	 0.99719389637559896489
512, 	6.54261e-06,	1.92012,	 0.99693740828175847479
558, 	5.53806e-06,	1.93749,	 0.99666317170114471224
608, 	4.68533e-06,	1.94845,	 0.99636525953322274685
663, 	3.95757e-06,	1.94927,	 0.99603776178362468663
724, 	3.33344e-06,	1.94992,	 0.99567478871780989991
789, 	2.81853e-06,	1.9516,	 0.99528830516335664580
861, 	2.37601e-06,	1.95577,	 0.99486055039665088895
939, 	2.00436e-06,	1.96141,	 0.99439756412372704020
1024, 	1.69029e-06,	1.96672,	 0.99389351822403160241
1116, 	1.42649e-06,	1.97227,	 0.99334853818829116356
1217, 	1.202e-06,	1.97641,	 0.99275093268950131975
1327, 	1.01273e-06,	1.98,	 0.99210089269238321830
1448, 	8.51765e-07,	1.98361,	 0.99138683121044368640
1579, 	7.1719e-07,	1.98559,	 0.99061491430190373730
1722, 	6.0363e-07,	1.98835,	 0.98977365855976051634
1878, 	5.07963e-07,	1.98976,	 0.98885755309176193162
2048, 	4.27438e-07,	1.99177,	 0.98786116204084206682
