Simulation parameters:
- time steps: 100
- mean velocity: 0.1
- Reynolds number: 1e+12
- Collision type: KBC

L 	Error (L2) 	Convergence Rate
128, 	5.8534e-06
139, 	1.25895e-05,	-9.28926
152, 	1.66422e-05,	-3.12146
165, 	1.56656e-05,	0.736925
181, 	1.08109e-05,	4.00762
197, 	5.66222e-06,	7.63505
215, 	1.94716e-06,	12.2085
234, 	8.45519e-07,	9.85058
256, 	2.20267e-06,	-10.6556
279, 	5.13819e-06,	-9.84528
304, 	8.72677e-06,	-6.17244
331, 	1.21785e-05,	-3.91671
362, 	1.51566e-05,	-2.44357
394, 	1.71158e-05,	-1.43521
430, 	1.82246e-05,	-0.717889
469, 	1.85014e-05,	-0.173646
512, 	1.81092e-05,	0.244248
558, 	1.7243e-05,	0.569738
608, 	1.60638e-05,	0.825427
663, 	1.4691e-05,	1.03163
724, 	1.32177e-05,	1.20065
789, 	1.17815e-05,	1.33785
861, 	1.03805e-05,	1.44972
939, 	9.08106e-06,	1.5422
1024, 	7.89287e-06,	1.61825
1116, 	6.83006e-06,	1.68102
1217, 	5.87775e-06,	1.73317
1327, 	5.04013e-06,	1.77672
1448, 	4.30258e-06,	1.81313
1579, 	3.66764e-06,	1.84352
1722, 	3.11906e-06,	1.86882
1878, 	2.64754e-06,	1.88999
2048, 	2.24413e-06,	1.90771
