128,    6.36047e-05
139,    6.3753e-05,     -0.0282368
152,    5.99713e-05,    0.683946
165,    5.53435e-05,    0.978588
181,    5.18634e-05,    0.701711
197,    5.17498e-05,    0.0258949
215,    5.4576e-05,     -0.608162
234,    5.9144e-05,     -0.949184
256,    6.41711e-05,    -0.907881
279,    6.8157e-05,     -0.700418
304,    7.06314e-05,    -0.415551
331,    7.09924e-05,    -0.0599177
362,    6.97865e-05,    0.19137
394,    6.7025e-05,     0.476643
430,    6.19534e-05,    0.899916
469,    5.797e-05,      0.765469
512,    5.17308e-05,    1.29811
558,    4.72251e-05,    1.05919
608,    3.99265e-05,    1.95634
663,    3.64997e-05,    1.03622
724,    3.09373e-05,    1.87852
789,    2.69316e-05,    1.61283
861,    2.35386e-05,    1.54201
939,    2.02916e-05,    1.71162
1024,   1.57848e-05,    2.89833
