Simulation parameters:
- time steps: 100
- mean velocity: 0.1
- Reynolds number: 100000

L 	Error (L2) 	Convergence Rate 	 beta
128, 	5.84931e-06,	 0.99923258937136272273
139, 	1.25837e-05,	-9.29217,	 0.99916669497638965769
152, 	1.66367e-05,	-3.12287,	 0.99908883098614065243
165, 	1.56615e-05,	0.736093,	 0.99901097913066061462
181, 	1.08087e-05,	4.00697,	 0.99891517811656549419
197, 	5.66148e-06,	7.63418,	 0.99881939547454912098
215, 	1.94745e-06,	12.2053,	 0.99871166195607663507
234, 	8.46277e-07,	9.84176,	 0.99859796845229298334
256, 	2.2036e-06,	-10.6503,	 0.99846635567767905162
279, 	5.13897e-06,	-9.84214,	 0.99832879759282966425
304, 	8.72721e-06,	-6.17127,	 0.99817932091864436384
331, 	1.21786e-05,	-3.9162,	 0.99801793637835256590
362, 	1.51563e-05,	-2.44332,	 0.99783270735961482334
394, 	1.71154e-05,	-1.43508,	 0.99764157531595309969
430, 	1.8224e-05,	-0.717821,	 0.99742663927068164753
469, 	1.85008e-05,	-0.173611,	 0.99719389637559896489
512, 	1.81086e-05,	0.244261,	 0.99693740828175847479
558, 	1.72424e-05,	0.569739,	 0.99666317170114471224
608, 	1.60633e-05,	0.825421,	 0.99636525953322274685
663, 	1.46904e-05,	1.03162,	 0.99603776178362468663
724, 	1.32172e-05,	1.20063,	 0.99567478871780989991
789, 	1.17812e-05,	1.33783,	 0.99528830516335664580
861, 	1.03802e-05,	1.4497,	 0.99486055039665088895
939, 	9.0808e-06,	1.54218,	 0.99439756412372704020
1024, 	7.89266e-06,	1.61823,	 0.99389351822403160241
1116, 	6.82989e-06,	1.681,	 0.99334853818829116356
1217, 	5.87762e-06,	1.73316,	 0.99275093268950131975
1327, 	5.04002e-06,	1.7767,	 0.99210089269238321830
1448, 	4.30249e-06,	1.81311,	 0.99138683121044368640
1579, 	3.66758e-06,	1.8435,	 0.99061491430190373730
1722, 	3.11901e-06,	1.8688,	 0.98977365855976051634
1878, 	2.6475e-06,	1.88998,	 0.98885755309176193162
2048, 	2.24409e-06,	1.9077,	 0.98786116204084206682
